episode,timestep,reward
11150,2238000,134.2682
11159,2240000,63.3168
11168,2242000,112.0845
11178,2244000,69.5168
11188,2246000,61.3112
11197,2248000,45.5469
11207,2250000,126.9257
11217,2252000,96.6282
11225,2254000,28.7216
11234,2256000,-35.1552
11243,2258000,39.436
11253,2260000,117.4722
11262,2262000,-8.7027
11271,2264000,-5.4842
11279,2266000,6.5944
11290,2268000,43.4092
11300,2270000,50.7075
11309,2272000,119.3926
11319,2274000,210.5886
11330,2276000,143.2326
11340,2278000,195.5082
11350,2280000,87.5927
11359,2282000,-101.2754
11369,2284000,86.878
11378,2286000,-50.198
11387,2288000,-27.7076
11396,2290000,77.0494
11406,2292000,43.5422
11416,2294000,-9.7128
11425,2296000,-190.4226
11434,2298000,-196.689
11443,2300000,-166.289
11452,2302000,-197.9966
11461,2304000,-123.0106
11471,2306000,155.6388
11480,2308000,-46.5583
11489,2310000,-24.2299
11499,2312000,13.3409
11509,2314000,-18.6618
11519,2316000,40.7669
11528,2318000,-0.032
11538,2320000,193.5189
11547,2322000,-63.5279
11556,2324000,21.5641
11566,2326000,-17.1015
11575,2328000,-39.5884
11585,2330000,98.2393
11594,2332000,24.5234
11604,2334000,56.1154
11613,2336000,-13.7347
11624,2338000,97.9209
11634,2340000,63.8637
11643,2342000,36.4888
11652,2344000,37.7059
11662,2346000,127.8893
11671,2348000,32.3551
11681,2350000,112.633
11691,2352000,15.245
11700,2354000,54.5872
